X,Y,Z
792.0,-286.0,-348.0
774.0,-304.0,-330.0
772.0,-282.0,-296.0
764.0,-266.0,-309.0
732.0,-276.0,-302.0
736.0,-272.0,-325.0
736.0,-256.0,-312.0
712.0,-252.0,-327.0
706.0,-258.0,-311.0
708.0,-242.0,-323.0
718.0,-234.0,-297.0
700.0,-252.0,-282.0
702.0,-250.0,-272.0
700.0,-260.0,-281.0
714.0,-282.0,-283.0
716.0,-270.0,-275.0
716.0,-268.0,-255.0
720.0,-282.0,-259.0
720.0,-300.0,-237.0
720.0,-286.0,-233.0
758.0,-292.0,-266.0
758.0,-308.0,-244.0
746.0,-312.0,-251.0
764.0,-314.0,-254.0
782.0,-328.0,-260.0
806.0,-314.0,-265.0
790.0,-322.0,-260.0
824.0,-336.0,-254.0
826.0,-342.0,-263.0
834.0,-334.0,-281.0
830.0,-332.0,-268.0
858.0,-334.0,-276.0
856.0,-336.0,-295.0
868.0,-328.0,-313.0
878.0,-330.0,-312.0
884.0,-304.0,-337.0
896.0,-322.0,-345.0
892.0,-292.0,-362.0
872.0,-288.0,-368.0
896.0,-272.0,-394.0
888.0,-270.0,-420.0
892.0,-254.0,-408.0
902.0,-248.0,-432.0
888.0,-226.0,-445.0
890.0,-214.0,-453.0
878.0,-208.0,-469.0
870.0,-188.0,-481.0
854.0,-182.0,-486.0
854.0,-194.0,-474.0
848.0,-170.0,-484.0
848.0,-150.0,-486.0
856.0,-166.0,-479.0
840.0,-164.0,-505.0
844.0,-148.0,-480.0
850.0,-146.0,-487.0
858.0,-138.0,-492.0
868.0,-132.0,-501.0
872.0,-120.0,-479.0
878.0,-128.0,-493.0
892.0,-124.0,-504.0
894.0,-104.0,-494.0
918.0,-108.0,-496.0
914.0,-114.0,-500.0
930.0,-98.0,-487.0
924.0,-88.0,-495.0
930.0,-86.0,-495.0
932.0,-98.0,-494.0
938.0,-76.0,-494.0
942.0,-52.0,-518.0
948.0,-46.0,-522.0
950.0,-30.0,-539.0
972.0,0.0,-557.0
984.0,8.0,-548.0
1008.0,18.0,-578.0
1014.0,26.0,-582.0
1016.0,44.0,-603.0
1008.0,68.0,-603.0
988.0,56.0,-593.0
968.0,52.0,-602.0
1008.0,54.0,-592.0
988.0,26.0,-595.0
1004.0,44.0,-591.0
992.0,32.0,-599.0
996.0,38.0,-591.0
1006.0,52.0,-599.0
1004.0,22.0,-591.0
1038.0,30.0,-591.0
1034.0,4.0,-604.0
1020.0,4.0,-593.0
1030.0,16.0,-593.0
1010.0,20.0,-596.0
1036.0,18.0,-583.0
1020.0,16.0,-591.0
1012.0,22.0,-589.0
1008.0,18.0,-584.0
988.0,20.0,-595.0
990.0,20.0,-576.0
972.0,24.0,-590.0
956.0,22.0,-589.0
944.0,22.0,-586.0
938.0,30.0,-581.0
950.0,40.0,-600.0
966.0,28.0,-590.0
942.0,38.0,-590.0
948.0,46.0,-596.0
934.0,42.0,-582.0
960.0,34.0,-599.0
940.0,34.0,-580.0
952.0,42.0,-582.0
960.0,34.0,-588.0
930.0,16.0,-579.0
940.0,32.0,-581.0
940.0,18.0,-583.0
930.0,40.0,-593.0
954.0,38.0,-574.0
944.0,28.0,-598.0
944.0,34.0,-574.0
946.0,34.0,-592.0
946.0,20.0,-574.0
946.0,20.0,-584.0
940.0,40.0,-575.0
952.0,34.0,-589.0
944.0,38.0,-602.0
940.0,22.0,-568.0
922.0,40.0,-580.0
926.0,26.0,-560.0
938.0,42.0,-580.0
940.0,30.0,-590.0
936.0,28.0,-570.0
932.0,30.0,-583.0
922.0,30.0,-575.0
908.0,36.0,-564.0
910.0,36.0,-577.0
906.0,30.0,-589.0
886.0,36.0,-579.0
896.0,28.0,-569.0
898.0,22.0,-573.0
894.0,26.0,-576.0
896.0,32.0,-568.0
894.0,34.0,-573.0
900.0,48.0,-560.0
910.0,36.0,-571.0
904.0,40.0,-601.0
906.0,30.0,-570.0
908.0,26.0,-562.0
902.0,28.0,-549.0
902.0,30.0,-578.0
910.0,36.0,-587.0
912.0,28.0,-576.0
910.0,34.0,-586.0
904.0,42.0,-583.0
910.0,24.0,-593.0
894.0,30.0,-580.0
912.0,26.0,-571.0
918.0,40.0,-552.0
902.0,38.0,-560.0
908.0,26.0,-580.0
908.0,24.0,-583.0
902.0,42.0,-576.0
898.0,20.0,-595.0
908.0,14.0,-576.0
922.0,28.0,-576.0
918.0,34.0,-579.0
898.0,48.0,-605.0
902.0,42.0,-593.0
902.0,26.0,-577.0
904.0,34.0,-596.0
896.0,34.0,-570.0
908.0,34.0,-583.0
914.0,20.0,-595.0
918.0,24.0,-572.0
900.0,24.0,-586.0
896.0,42.0,-588.0
892.0,22.0,-579.0
914.0,26.0,-597.0
904.0,18.0,-582.0
924.0,0.0,-575.0
906.0,44.0,-582.0
908.0,24.0,-593.0
892.0,24.0,-591.0
892.0,32.0,-590.0
904.0,22.0,-593.0
910.0,18.0,-574.0
916.0,28.0,-562.0
910.0,34.0,-569.0
902.0,32.0,-559.0
914.0,34.0,-571.0
912.0,32.0,-568.0
928.0,26.0,-593.0
920.0,12.0,-603.0
894.0,40.0,-582.0
894.0,14.0,-579.0
916.0,18.0,-569.0
904.0,20.0,-578.0
904.0,24.0,-582.0
902.0,32.0,-577.0
900.0,10.0,-571.0
914.0,22.0,-602.0
918.0,16.0,-581.0
900.0,22.0,-565.0
906.0,32.0,-599.0
914.0,32.0,-565.0
912.0,12.0,-571.0
914.0,24.0,-580.0
912.0,32.0,-588.0
898.0,22.0,-590.0
902.0,20.0,-562.0
914.0,22.0,-570.0
914.0,18.0,-563.0
918.0,18.0,-571.0
904.0,24.0,-588.0
910.0,20.0,-575.0
908.0,28.0,-582.0
926.0,34.0,-576.0
910.0,26.0,-581.0
908.0,28.0,-589.0
904.0,28.0,-603.0
906.0,36.0,-587.0
906.0,10.0,-578.0
898.0,24.0,-598.0
898.0,14.0,-586.0
902.0,18.0,-585.0
900.0,10.0,-599.0
912.0,24.0,-585.0
914.0,14.0,-589.0
910.0,26.0,-572.0
910.0,18.0,-567.0
916.0,18.0,-577.0
912.0,10.0,-586.0
900.0,26.0,-572.0
902.0,22.0,-581.0
918.0,18.0,-585.0
906.0,8.0,-573.0
898.0,20.0,-602.0
920.0,18.0,-585.0
926.0,26.0,-570.0
902.0,-10.0,-588.0
896.0,22.0,-589.0
892.0,24.0,-566.0
914.0,20.0,-583.0
898.0,18.0,-585.0
908.0,24.0,-591.0
906.0,16.0,-594.0
902.0,22.0,-572.0
918.0,26.0,-587.0
904.0,20.0,-582.0
910.0,12.0,-611.0
916.0,18.0,-586.0
914.0,8.0,-596.0
918.0,28.0,-580.0
906.0,20.0,-581.0
916.0,16.0,-591.0
904.0,32.0,-583.0
904.0,22.0,-590.0
916.0,12.0,-585.0
910.0,34.0,-578.0
920.0,18.0,-600.0
912.0,20.0,-601.0
908.0,18.0,-594.0
910.0,6.0,-610.0
910.0,26.0,-588.0
904.0,34.0,-610.0
908.0,28.0,-593.0
914.0,26.0,-578.0
912.0,34.0,-598.0
904.0,20.0,-593.0
898.0,20.0,-585.0
906.0,26.0,-595.0
888.0,12.0,-581.0
900.0,18.0,-608.0
898.0,16.0,-585.0
904.0,20.0,-602.0
896.0,26.0,-587.0
900.0,16.0,-592.0
896.0,18.0,-582.0
900.0,-6.0,-568.0
926.0,10.0,-584.0
904.0,32.0,-605.0
908.0,20.0,-589.0
896.0,34.0,-569.0
922.0,22.0,-566.0
924.0,24.0,-576.0
906.0,22.0,-591.0
918.0,36.0,-599.0
920.0,18.0,-593.0
922.0,18.0,-582.0
904.0,16.0,-603.0
918.0,20.0,-580.0
906.0,22.0,-577.0
900.0,16.0,-590.0
916.0,8.0,-596.0
904.0,12.0,-587.0
900.0,18.0,-586.0
918.0,20.0,-586.0
900.0,26.0,-574.0
900.0,16.0,-587.0
896.0,32.0,-584.0
898.0,30.0,-577.0
896.0,26.0,-593.0
910.0,20.0,-601.0
908.0,14.0,-593.0
906.0,16.0,-598.0
914.0,14.0,-603.0
896.0,24.0,-586.0
918.0,24.0,-601.0
916.0,30.0,-570.0
902.0,20.0,-570.0
920.0,20.0,-573.0
916.0,18.0,-586.0
898.0,18.0,-577.0
910.0,6.0,-585.0
906.0,14.0,-586.0
916.0,20.0,-578.0
910.0,14.0,-587.0
910.0,16.0,-585.0
912.0,18.0,-574.0
898.0,32.0,-551.0
910.0,26.0,-597.0
912.0,30.0,-601.0
898.0,22.0,-589.0
912.0,38.0,-593.0
914.0,18.0,-593.0
914.0,40.0,-578.0
908.0,40.0,-570.0
910.0,34.0,-576.0
902.0,18.0,-573.0
900.0,14.0,-565.0
910.0,20.0,-591.0
908.0,28.0,-587.0
904.0,10.0,-568.0
902.0,24.0,-569.0
896.0,16.0,-592.0
910.0,24.0,-573.0
916.0,28.0,-586.0
912.0,20.0,-598.0
896.0,30.0,-573.0
900.0,22.0,-600.0
910.0,34.0,-577.0
898.0,16.0,-577.0
912.0,30.0,-568.0
904.0,16.0,-582.0
906.0,22.0,-572.0
906.0,34.0,-578.0
902.0,22.0,-587.0
896.0,16.0,-583.0
892.0,16.0,-581.0
898.0,24.0,-582.0
902.0,26.0,-592.0
910.0,24.0,-570.0
910.0,22.0,-587.0
914.0,20.0,-569.0
900.0,14.0,-576.0
910.0,-2.0,-565.0
914.0,30.0,-570.0
908.0,32.0,-579.0
908.0,18.0,-564.0
898.0,16.0,-593.0
910.0,28.0,-596.0
920.0,14.0,-576.0
908.0,22.0,-593.0
924.0,20.0,-585.0
914.0,22.0,-581.0
920.0,22.0,-567.0
896.0,34.0,-601.0
908.0,38.0,-597.0
904.0,26.0,-590.0
906.0,28.0,-597.0
904.0,36.0,-589.0
902.0,24.0,-589.0
906.0,30.0,-595.0
914.0,36.0,-571.0
908.0,32.0,-583.0
894.0,34.0,-602.0
902.0,20.0,-596.0
912.0,32.0,-584.0
896.0,32.0,-575.0
